idx,Arab,Gender,Age,Religion,Religiosity,pop_w,Area,FamilyStatus,Profession,Bornplace,Immigration1990,ImmigrationYear,FamilyNumber,Income,Education,VoteTend,Vote19,Vote19Other,VoteSure,c_Likud,c_Lavan,c_Avoda,c_NYamin,c_Meretz,c_UYamin,c_Liberman,c_Kahlon,c_Gesher,c_Gimel,c_Shas,c_Hadash,c_Balad,c_Zehut,c_Other,c_Other_txt,Friends,g_Likud,g_Lavan,g_Avoda,g_NYamin,g_Meretz,g_UYamin,g_Liberman,g_Kahlon,g_Gesher,g_Gimel,g_Shas,g_Hadash,g_Balad,g_Zehut,g_Other,g_Other_txt,VoteSecurity,VoteEconomic,VoteSocial,VoteClean,VoteDecent,VoteReligious,VoteTradition,Transp,Vote15,TwoStateCon,TwoStateFor,TwoStateAgainst,TwoStateComb
1,0,Man,56,Jewish,Secular,0.871188986,Haifa,Married,Unemployed,Abroad,Other,,2,SlightAboveAvg,AcademicFirst,1,Lavan,"",1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,"",2,0,1,1,0,1,0,0,1,1,0,0,0,0,1,0,"",3,1,2,4,5,6,7,4,Kahlon,2,,4,4
2,0,Man,36,Jewish,Secular,0.871188986,TelAviv,Married,Full,Israel,,,4,SlightAboveAvg,AcademicFirst,1,Avoda,"",2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,"",1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,"",5,4,2,1,3,6,7,4,Avoda,1,1,,1
3,0,Woman,58,Jewish,Secular,0.871188986,TelAviv,Married,Full,Israel,,,2,Decline,AcademicHigh,1,Meretz,"",2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"",2,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,"",3,4,2,1,5,6,7,4,Meretz,2,,2,2
4,0,Woman,62,Jewish,Traditional,1.062425593,TelAviv,Married,Full,Israel,,,3,SlightBelowAvg,HighSchool,2,Gesher,"",2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"",3,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,"",2,3,1,4,5,7,6,4,Bait,1,2,,2
5,0,Woman,63,Jewish,Secular,0.871188986,Haifa,CommonLaw,Retiree,Israel,,,2,SlightBelowAvg,Tertiary,1,Lavan,"",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"",2,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,"",2,3,4,1,,,,5,Lapid,1,1,,1
6,0,Woman,62,Jewish,Secular,0.871188986,TelAviv,Married,Partial,Israel,,,2,SlightAboveAvg,AcademicFirst,1,Lavan,"",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"",2,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,"",1,4,2,3,,,,4,Lapid,2,,4,4
7,0,Woman,54,Jewish,Secular,0.871188986,Haifa,Divorced,Full,Israel,,,3,SlightBelowAvg,AcademicFirst,1,Meretz,"",2,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,"",3,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,"",4,6,1,2,3,5,7,4,Meretz,2,,2,2
8,0,Man,37,Jewish,Traditional,1.062425593,Sharon,Single,Full,Israel,,,4,SlightAboveAvg,AcademicFirst,1,Likud,"",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,"",1,2,4,6,5,3,7,3,Likud,1,3,,3
9,0,Man,38,Jewish,Secular,0.871188986,TelAviv,Married,Full,Israel,,,5,SlightAboveAvg,AcademicFirst,1,Lavan,"",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"",2,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,"",2,4,5,1,3,7,6,5,Lapid,2,,1,1
10,0,Man,42,Jewish,Secular,0.871188986,South,Married,Full,Israel,,,5,WellAboveAvg,AcademicFirst,1,Meretz,"",1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,"",1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,"",6,4,1,2,3,5,7,5,Meretz,1,1,,1
